Testing with 2 threads
Matrix size: 10x10, Time: 7.3469 milliseconds
Matrix size: 50x50, Time: 0.3636 milliseconds
Matrix size: 100x100, Time: 3.6502 milliseconds
Matrix size: 200x200, Time: 31.6246 milliseconds
Matrix size: 300x300, Time: 108.825 milliseconds
Matrix size: 400x400, Time: 233.083 milliseconds
Matrix size: 500x500, Time: 462.317 milliseconds
Matrix size: 1000x1000, Time: 3876.21 milliseconds
Matrix size: 1500x1500, Time: 13834.2 milliseconds
Matrix size: 1750x1750, Time: 24169.6 milliseconds
Matrix size: 2000x2000, Time: 42890.6 milliseconds
