Testing with 10 threads
Matrix size: 10x10, Time: 16.7482 milliseconds
Matrix size: 50x50, Time: 0.1568 milliseconds
Matrix size: 100x100, Time: 1.3501 milliseconds
Matrix size: 200x200, Time: 9.0193 milliseconds
Matrix size: 300x300, Time: 32.6841 milliseconds
Matrix size: 400x400, Time: 81.0891 milliseconds
Matrix size: 500x500, Time: 166.532 milliseconds
Matrix size: 1000x1000, Time: 1587.81 milliseconds
Matrix size: 1500x1500, Time: 5148.41 milliseconds
Matrix size: 1750x1750, Time: 8163.45 milliseconds
Matrix size: 2000x2000, Time: 14735.2 milliseconds
